review,sentiment
tinulungan nila ang aso ko para gumanda ang kalusugan,positive
everyone at the facility was super nice,positive
the staff and physicians excellent very caring and professional,positive
staff provided loving care which is heartwarming,positive
napakamatulungin at mabait ng mga tauhan,positive
ang tauhan ay palaging taospusong nakikiramay sa iyong alaga,positive
the staff is very friendly,positive
i am so grateful to the professional and knowledgeable staff,positive
may mga nakatalagang presyo sa mga gamot,neutral
the staff is very efficient,positive
ang tauhan ay palaging mabait,positive
the doctor is the best,positive
their group is awesome,positive
very professional staff,positive
the staff is so efficient,positive
hindi worth it ang oras sa pagpila,negative
the doctor is very reliable,positive
ang mga tauhan ay matulungin,positive
the staff is very friendly and caring,positive
the vets are so kind and caring,positive
the staff was super nice professional and caring,positive
great friendly and very professional staff,positive
wonderful place,positive
helpful caring knowledgeable,positive
everyone at the facility was super nice professional and caring,positive
everyone was friendly caring and very professional they answered all my questions and good took care of my two kittens,positive
ang mga doktor ay napakapropesyunal,positive
i am so grateful the to professional and greatly knowledgeable staff,positive
staff is also great,positive
the doctor is so sincere,positive
staff are always very helpful,positive
we had a very sick chihuahua and they were fantastic with her saved her life basically,positive
may mga nakalistang presyo sa mga gamot,neutral
the doctor is an excellent veterinarian,positive
the doctor is great since he is caring and compassionate,positive
the staff is very thorough,positive
napaka pala kaibigan ng mga tauhan,positive
this clinic is awesome,positive
napakamatulungin ng mga tauhan,positive
napakahirap tumawag para mag book,negative
the staffs are knowledgeable,positive
ang tauhan ay taospusong nagmamalasakit sa lahat ng ating mga hayop,positive
hindi magaling ang mga doktor,negative
excellent service,positive
napakamatulungin at mabait ng mga tauhan,positive
ang staff ay napaka magiliw at matulungin,positive
hindi pulido ang pag gamot sa iyong alaga,negative
everyone at the facility was super nice professional and caring,positive
friendly staff that truly cares about my dog,positive
parang sobrang mahal kumpara sa ibang clinic,negative
the booking process was too complicated which is frustrating,negative
our puppies were handled with love and compassion,positive
the staff and physicians are excellent as they are very a caring professional,positive
the staffs are greatly knowledgeable,positive
the staffs are excellent as they are very caring and professional,positive
the staff is very helpful,positive
hindi makatuwiran ng presyo ng serbisyo nila nakakadismaya,negative
ang tauhan ay napaka bait,positive
everyone was caring and very professional they answered all my questions,positive
the level of information and care is fantastic,positive
ang doktor ay mahabagin at pinanatag niya ang aming loob,positive
napakamatulungin ng mga doktor,positive
mabilis lang ang pila kaya nakakatuwa,positive
everyone was very friendly and took their with with each animal,positive
the staffs are very honest,positive
i like how they provide a very prompt service,positive
doctor is the very caring and compassionate,positive
lahat ng tao sa pasilidad ay walang malasakit,negative
i absolutely love the staff, positive
the staff are always very helpful and courteous,positive
the staff is awesome,positive
ang mga tauhan ay napakagaling,positive
they are very professional,positive
all of the staff took great care of our puppy,positive
the staff is very professional,positive
very friendly and caring staffs,positive
the doctors are excellent very caring professional,positive
napaka maasikaso ng mga tauhan,positive
i love how caring the doctor is,positive
my cats been better compared to my other vet of 4 years,positive
the doctor is very understanding,positive
i love how everyone took good care of my two kittens,positive
napaka ganda ang aking karanasan sa kanila,positive
ang mga tauhan ay napaka galing,positive
the doctors are really great,positive
ang mga tauhan ay marespeto,positive
the process of getting an appointment is neither difficult nor easy,neutral
everyone is so friendly  and caring,positive
the staff is very compassionate,positive
the staff are always very helpful and caring keep up the good work,positive
the doctors are very professional,positive
the walls and windows had a noticeable layer,neutral
karaniwang karanasan at mayroong oras tuwing linggo,neutral
the staff is very professional yet friendly and caring,positive
napakamatulungin at mabait ng doctor,positive
the staffs are very supportive,positive
the staff are really a great support,positive
nakikitungo ang mga tauhan sa iyong hayop,neutral
they have helped us,neutral
parang hindi naglilinis nang maayos ang veterinaryo,negative
very nice and caring staff,positive
ang serbisyo ng staff ay ayos lang,neutral
the doctor is very knowledgeable,positive
the staff is very skilled,positive
everyone was very helpful and efficient,positive
the staff is very caring,positive
the doctors and staffs are really awesome,positive
i am so greatful to the nice staff and proactive doctors,positive
i was charged extra fees without any explanation which is unacceptable,negative
